36-06 PENNSYLVANIA    UPPER  SUSQUEHANNA            .0890 4171  7646    00002940
36-07 PENNSYLVANIA    CENTRAL SUSQUEHANNA           .0970 4112  7813    00002950
36-08 PENNSYLVANIA    SOUTH CENTRAL                 .0793 4025  7828    00002960
36-09 PENNSYLVANIA    SOUTH WEST PLATEAU            .1810 4037  7971    00002970
36-10 PENNSYLVANIA    NORTH WEST PLATEAU            .1744 4158  7928    00002980
37-00 RHODE ISLAND              1049     165    1214                    00002990
37-01 RHODE ISLAND    RHODE ISLAND                 1.0000 4170  7148    00003000
38-00 SOUTH CAROLINA           30280     775   31055                    00003010
38-01 SOUTH CAROLINA  MOUNTAIN                      .0199 3505  8269    00003020
38-02 SOUTH CAROLINA  NORTH WEST                    .1472 3480  8213    00003030
38-03 SOUTH CAROLINA  NORTH CENTRAL                 .1081 3466  8086    00003040
38-04 SOUTH CAROLINA  WEST  EAST                    .2113 3400  7950    00003050
38-05 SOUTH CAROLINA  WEST  CENTRAL                 .1324 3393  8187    00003060
38-06 SOUTH CAROLINA        CENTRAL                 .1505 3374  8071    00003070
38-07 SOUTH CAROLINA  SOUTHERN                      .2306 3292  8062    00003080
39-00 SOUTH DAKOTA             75956    1091   77047                    00003090
39-01 SOUTH DAKOTA    NORTH WEST                    .1639 4518 10262    00003100
39-02 SOUTH DAKOTA    NORTH CENTRAL                 .1020 4545 10013    00003110
39-03 SOUTH DAKOTA    NORTH EAST                    .0991 4545  9772    00003120
39-04 SOUTH DAKOTA    BLACK HILLS                   .0367 4387 10360    00003130
39-05 SOUTH DAKOTA    SOUTH WEST                    .1333 4366 10243    00003140
39-06 SOUTH DAKOTA          CENTRAL                 .1434 4448 10013    00003150
39-07 SOUTH DAKOTA    EAST  CENTRAL                 .1130 4448  9761    00003160
39-08 SOUTH DAKOTA    SOUTH CENTRAL                 .0761 4348 10013    00003170
39-09 SOUTH DAKOTA    SOUTH EAST                    .1325 4339  9750    00003180
40-00 TENNESSE                 41366     878   42244                    00003190
40-01 TENNESSE        EASTERN                       .2604 3585  8372    00003200
40-02 TENNESSE        CUMBERLAND  PLATEAU           .1648 3579  8528    00003210
40-03 TENNESSE        MIDDLE                        .3499 3579  8700    00003220
40-04 TENNESSE        WESTERN                       .2249 3574  8900    00003230
41-00 TEXAS                   262970    4369  267339                    00003240
41-01 TEXAS           HIGH    PLAINS                .1474 3450 10164    00003250
41-02 TEXAS           LOW     ROLLING PLAINS        .0956 3339 10017    00003260
41-03 TEXAS           NORTH   CENTRAL               .1459 3235  9747    00003270
41-04 TEXAS           EAST    TEXAS                 .1242 3177  9488    00003280
41-05 TEXAS           TRANS   PECOS                 .1353 3082 10355    00003290
41-06 TEXAS           EDWARDS PLATEAU               .1320 3056 10008    00003300
41-07 TEXAS           SOUTH   CENTRAL               .0803 2938  9737    00003310
41-08 TEXAS           UPPER   COAST                 .0457 2938  9536    00003320
41-09 TEXAS           SOUTHERN                      .0821 2783  9891    00003330
41-10 TEXAS           LOWER VALLEY                  .0115 2630  9769    00003340
42-00 UTAH                     82381    2535   84916                    00003350
42-01 UTAH            WESTERN                       .2578 3983 11334    00003360
42-02 UTAH            DIXIE                         .0162 3723 11346    00003370
42-03 UTAH            NORTH CENTRAL                 .0660 4068 11210    00003380
42-04 UTAH            SOUTH CENTRAL                 .2064 3837 11200    00003390
42-05 UTAH            NORTHERN  MOUNTAINS           .1326 4082 11090    00003400
42-06 UTAH            UINTA     BASIN               .0674 4000 10975    00003410
42-07 UTAH            SOUTH     EAST                .2536 3832 11013    00003420
43-00 VERMONT                   9274     335    9609                    00003430
43-01 VERMONT         NORTH EASTERN                 .5051 4439  7229    00003440
43-02 VERMONT               WESTERN                 .3306 4397  7309    00003450
43-03 VERMONT         SOUTH EASTERN                 .1643 4315  7261    00003460
44-00 VIRGINIA                 39841     976   40817                    00003470
44-01 VIRGINIA        TIDE    WATER                 .1851 3724  7676    00003480
44-02 VIRGINIA        EASTERN PIEDMONT              .1899 3745  7789    00003490
44-03 VIRGINIA        WESTERN PIEDMONT              .1811 3703  7920    00003500
44-04 VIRGINIA        NORTHERN                      .1283 3877  7794    00003510
44-05 VIRGINIA        CENTRAL MOUNTAIN              .1274 3793  7938    00003520
44-06 VIRGINIA        SOUTHWESTERN MOUNTAIN         .1882 3694  8149    00003530
45-00 WASHINGTON               66663    1529   68192                    00003540
45-01 WASHINGTON      WEST  OLYMPIC COASTAL         .0739 4738 12385    00003550
45-02 WASHINGTON      NORTH EAST OLYMPIC SAN JUAN   .0266 4834 12280    00003560
45-03 WASHINGTON      PUGET SOUND LOWLANDS          .0530 4767 12241    00003570
45-04 WASHINGTON   EAST OLYMPIC CASCADE FOOTHILLS   .1412 4669 12274    00003580
45-05 WASHINGTON      CASCADE MOUNTAINS WEST        .0910 4757 12146    00003590
45-06 WASHINGTON      EAST  SLOPE   CASCADES        .1388 4734 12070    00003600
45-07 WASHINGTON      OKANOGAN BIG BEND             .1028 4790 11916    00003610
45-08 WASHINGTON      CENTRAL  BASIN                .1739 4667 11938    00003620
45-09 WASHINGTON      NORTH EASTERN                 .1222 4833 11800    00003630
45-10 WASHINGTON      PALOUSE BLUE MOUNTAINS        .0766 4666 11753    00003650
46-00 WEST VIRGINIA            24084      97   24181                    00003660
46-01 WEST VIRGINIA   NORTH WESTERN                 .0496 3949  8100    00003670
46-02 WEST VIRGINIA   NORTH CENTRAL                 .1823 3918  8040    00003680
46-03 WEST VIRGINIA   SOUTH WESTERN                 .2331 3833  8177    00003690
46-04 WEST VIRGINIA         CENTRAL                 .3022 3854  8040    00003700
46-05 WEST VIRGINIA   SOUTHERN                      .1100 3750  8100    00003710
46-06 WEST VIRGINIA   NORTHEASTERN                  .1228 3931  7868    00003720
47-00 WISCONSIN                54464    1690   56154                    00003730
47-01 WISCONSIN       NORTH WEST                    .1727 4587  9157    00003740
47-02 WISCONSIN       NORTH CENTRAL                 .1776 4550  8995    00003750
47-03 WISCONSIN       NORTH EAST     DIVISION       .1102 4529  8839    00003760
47-04 WISCONSIN       WEST  CENTRAL                 .1262 4449  9128    00003770
47-05 WISCONSIN             CENTRAL                 .0966 4420  8948    00003780
47-06 WISCONSIN       EAST  CENTRAL                 .0835 4420  8809    00003790
47-07 WISCONSIN       SOUTH WEST                    .0985 4309  9033    00003800
47-08 WISCONSIN       SOUTH CENTRAL                 .0866 4309  8906    00003810
47-09 WISCONSIN       SOUTH EAST                    .0481 4309  8809    00003820
48-00 WYOMING                  97281     633   97914                    00003830
48-01 WYOMING         YELLOWSTONE DRAINAGE          .0402 4472 11010    00003840
48-02 WYOMING               SNAKE DRAINAGE          .0525 4367 11051    00003850
48-03 WYOMING         GREEN&BEAR  DRAINAGE          .2078 4188 10953    00003860
48-04 WYOMING         BIG   HORN                    .1162 4427 10844    00003870
48-05 WYOMING       POWDER,LITTLE&TONGUE DRAINAGE   .1164 4427 10626    00003880
